file	slot	name	desc	grade	price	prereqs_any	prereqs_and	exclude_any
itm_h_GorgonMask	Head	Gorgon Mask	[not implemented\nEvery second you looks at the enemies, you slow them. Deals 1 damage per stack slow on the enemies when triggering.	1	5000	["_NA"]		
itm_h_Helmet	Head	Helmet	="+3 defense\n+3 block strength"	1	2000			
itm_h_Hood	Head	Hood	="+12% health capacity\n+2 defense"	1	2000			
itm_h_Ruby_Circlet	Head	Ruby Circlet	Deals 4% additional damage for each burning enemy. Limited to 60%.	3	8000	["q_Exterminator_MassBurn_1"]		
itm_h_SparkingTips	Gloves	Sparking Tips	When you hit a burning enemy with physical attacks, that enemy will spark fire damage projectiles dealing damage based on the burn strength with a chance to set the targets on fire.	2	4000	["q_Exterminator_Destroyer_1"]		
itm_h_ThunderCrown	Head	Thunder Crown	Hitting electrified enemies with magic attacks triggers a lightning. The lightning deals 100 damage and has a chance to electrify the target.	3	7500	["q_Sorceress_ApplyElectrify_1"]		
itm_h_WarHorns	Head	War Horns	Every 5s you perform a war cry which weakens enemies in its range for 5s adding 3 stacks of fragile to them.	2	4000	["q_Caverns_HellhoundsKilled_1"]		
itm_n_BloodCatcher	Neck	Blood Catcher	Each time you've dealt 100x your maximum health in damage, you regenerate 1 health point.	3	6000	["q_Cleric_NoMaxHealth_1"]		
itm_n_ChallengersEye	Neck	Collar of Confidence	="+5% damage for each enemy in your pickup range.\nThe maximum is 50%"	3	8000	["q_Archer_Tries_1"]		
itm_n_DuellistSpark	Neck	Duellist's Spark	50% damage\n -5% damage for each enemy in your pickup range	3	8000	["q_Shieldmaiden_Lord_1"]		
itm_n_Gatherers_Charm	Neck	Gatherer's Charm	Helps you locating ingredients for new potions.\n+10% Movement Speed	1	0	["q_Viaduct_Cupbearer_1"]		
itm_n_Jade_Amulette	Neck	Jade Amulett	="+50% XP Gain"	2	5000	["q_Main_Level_1"]		
itm_n_Maidens_Tear	Neck	Maiden's Tear	When you would take damage, regenerate 10% health instead. Recharges 90 seconds.	2	5000	["q_Shieldmaiden_Regenerate_1"]		
itm_n_ScarsOfToil	Neck	Scars of Toil	="+0.07% damage for each missing health point"	3	6500	["q_Swordsman_Level_1"]		
itm_n_Warriors_Hearth	Neck	Warrior's Fervour	When picking up a potion, add a rage buff for 15 seconds. Takes 60 seconds to recharge.\n+100% Attackspeed\n+100% Damage	2	4000	["__NA"]		
itm_q_bottle_memory	Consumable	Memorizing Bottle	When retreived and bought, allows the Cupbearer to increase the amount of available Potions of Memory.	1	2000	["NO_UNLOCK"]		
itm_q_bottle_oblivion	Consumable	Oblivious Bottle	When retreived and bought, allows the Cupbearer to increase the amount of available Potions of Oblivion.	1	1200	["NO_UNLOCK"]		
itm_q_bottle_reverberant	Consumable	Memorizing Bottle	When retreived and bought, allows the Cupbearer to increase the amount of available Reverberant Tinktures.	1	2000	["NO_UNLOCK"]		
itm_q_bottle_wine	Consumable	Wine Bottle	When retreived and bought, allows the Cupbearer to increase the amount of available Strong Wine.	1	600	["NO_UNLOCK"]		
itm_r_Copper_Ring	Ring	Copper Ring	Increases the  critical damage by 40%.	1	2500			
itm_r_DemonicBond	Ring	Demonic Bond	Every 5 seconds, you summons an imp to fight by your side. They will be gone after a set time which can be extended.\nCan handle 5 summons at a time.	2	5000	["q_Ember_Boss_1"]		
itm_r_GuidingStar	Ring	Guiding Star	While attacking: +40% attack speed, -30% movement speed\nWhile moving: -30% attack speed, +40% movement speed	3	6000	["q_Archer_Walk_1"]		
itm_r_Iron_Ring	Ring	Iron Ring	="+10 base attack damage"	2	4000			
itm_r_NecromancersClutch	Ring	Necromancers Clutch	Every 15 seconds, you summon a skeleton to fight for you. They will perish after a set time, but their life force can be extended.\nCan handle 5 summons at a time. 	2	5000	["q_Caverns_Boss_2"]		
itm_r_PyromancerBand	Ring	Ring of Fire	Transforms the damage type of your main weapon into fire.\n+15% Burn Chance	3	5000	["q_Exterminator_Level_1"]		
itm_r_Rat_Ring	Ring	Pest Ring	Summons a rat every 2 seconds. Rats bite up to 10 random enemies applying 5 debuffs at random with each bite.	2	3500	["q_Exterminator_Kills_1"]		
itm_r_RingOfThunder	Ring	Ring of Thunder	Transforms the damage type of you main weapon into elecrticity.\n+15% Electrify Chance	3	5500	["q_Sorceress_HitDamage_1"]		
itm_r_SealOfRebirth	Ring	Seal of Rebirth	When you die, the seal breaks and revives you with 50% of your max health	4	10000	["q_Main_ItemPurchased_1"]		
itm_r_ShockwaveCore	Ring	Echoing Band	Damaging an enemy with physical attacks has a 20% chance to deal 40% of the damage as splash damage.	3	8000	["q_Swordsman_HitDamage_1"]		
itm_r_Wooden_Ring	Ring	Wooden Ring	="+10% base crit chance"	1	2500			
